,anot,date,start_time,end_time,event_no,D001,D002,D004,ENTERHOME,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,c,duration,weekday,season
18,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 15:23:00.012287,2020-05-14 15:25:33.571046,19.0,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,3.0,6.0,14.0,1.0,0.0,,,,,,,,,,,,0 days 00:02:33.558759000,Thursday,autumn
19,Eating,2010-11-04 00:00:00.000000,2020-05-14 15:25:35.233346,2020-05-14 15:28:42.550415,20.0,,,,,,,,,,,,,,,,,,3.0,,,,0.0,0.0,1.0,,,,,,,,,,,,,0 days 00:03:07.317069000,Thursday,autumn
20,Work,2010-11-04 00:00:00.000000,2020-05-14 15:47:48.178484,2020-05-14 16:10:33.632772,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,25.0,7.0,1.0,,,,,0 days 00:22:45.454288000,Thursday,autumn
21,Relax,2010-11-04 00:00:00.000000,2020-05-14 16:15:57.476492,2020-05-14 16:21:58.473670,22.0,,,,,,,,,,,,,16.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:06:00.997178000,Thursday,autumn
22,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 16:21:59.792013,2020-05-14 16:31:26.780941,23.0,,,,,,,,,,,,,,,,,0.0,5.0,30.0,6.0,16.0,11.0,28.0,2.0,1.0,2.0,,,,,,1.0,1.0,,,,0 days 00:09:26.988928000,Thursday,autumn
23,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 16:32:53.242196,2020-05-14 16:34:13.718409,24.0,,,,,,,,,,,,,,,,,,1.0,5.0,,,2.0,6.0,,0.0,,,,,,,,,,,,0 days 00:01:20.476213000,Thursday,autumn
24,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 16:36:10.081963,2020-05-14 17:06:00.365984,25.0,,,,,,,,,,,,,,,,,,0.0,111.0,18.0,19.0,20.0,123.0,0.0,,,,,,,,,,,,,0 days 00:29:50.284021000,Thursday,autumn
25,Relax,2010-11-04 00:00:00.000000,2020-05-14 17:06:21.690589,2020-05-14 17:27:12.160580,26.0,,,,,,,,,,,,,2.0,87.0,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:20:50.469991000,Thursday,autumn
26,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 17:27:13.899589,2020-05-14 17:27:55.351855,27.0,,,,,,,,,,,,,,,,,0.0,0.0,4.0,,,4.0,2.0,0.0,,,,,,,,,,,,,0 days 00:00:41.452266000,Thursday,autumn
27,Relax,2010-11-04 00:00:00.000000,2020-05-14 17:28:26.929572,2020-05-14 17:33:54.754187,28.0,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,0 days 00:05:27.824615000,Thursday,autumn
28,Eating,2010-11-04 00:00:00.000000,2020-05-14 17:35:16.153016,2020-05-14 17:37:11.693732,29.0,,,,,,,,,,,,,,,,,,7.0,,,,1.0,1.0,,,,,,,,,,,,,,0 days 00:01:55.540716000,Thursday,autumn
29,Wash_Dishes,2010-11-04 00:00:00.000000,2020-05-14 17:37:24.341684,2020-05-14 17:55:20.509057,30.0,,,,,,,,,,,,,,,,,,3.0,54.0,,9.0,9.0,71.0,,1.0,,,,,,,,,,,,0 days 00:17:56.167373000,Thursday,autumn
30,Work,2010-11-04 00:00:00.000000,2020-05-14 17:55:24.901401,2020-05-14 17:57:47.397780,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,10.0,2.0,0.0,,,,,0 days 00:02:22.496379000,Thursday,autumn
31,Sleeping,2010-11-05 00:00:00.000000,2020-05-14 00:00:11.187975,2020-05-14 04:18:05.416805,32.0,,,,,,14.0,135.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 04:17:54.228830000,Friday,autumn
32,Bed_to_Toilet,2010-11-05 00:00:00.000000,2020-05-14 04:18:09.406239,2020-05-14 04:20:50.109684,33.0,,,,,,,,2.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:02:40.703445000,Friday,autumn
33,Sleeping,2010-11-05 00:00:00.000000,2020-05-14 04:21:04.241472,2020-05-14 07:48:11.449954,34.0,,,,,,4.0,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 03:27:07.208482000,Friday,autumn
34,Meal_Preparation,2010-11-05 00:00:00.000000,2020-05-14 07:54:57.970369,2020-05-14 07:58:23.566091,35.0,,,1.0,,,,,,,,,,,,,,,1.0,8.0,1.0,1.0,6.0,15.0,,3.0,2.0,1.0,,,,,,,1.0,,,0 days 00:03:25.595722000,Friday,autumn
35,Work,2010-11-05 00:00:00.000000,2020-05-14 07:58:49.065697,2020-05-14 08:00:59.944280,36.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,2.0,,4.0,9.0,11.0,3.0,,,,,0 days 00:02:10.878583000,Friday,autumn
36,Work,2010-11-05 00:00:00.000000,2020-05-14 08:22:17.676499,2020-05-14 08:35:20.117954,37.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,44.0,38.0,15.0,5.0,,2.0,,,0 days 00:13:02.441455000,Friday,autumn
37,Work,2010-11-05 00:00:00.000000,2020-05-14 08:35:50.265168,2020-05-14 08:57:18.702855,38.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,22.0,53.0,29.0,2.0,2.0,,,,0 days 00:21:28.437687000,Friday,autumn
38,Work,2010-11-05 00:00:00.000000,2020-05-14 09:04:06.011468,2020-05-14 09:05:14.891311,39.0,,,,,,,,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,,8.0,7.0,5.0,,,,,,0 days 00:01:08.879843000,Friday,autumn
39,Work,2010-11-05 00:00:00.000000,2020-05-14 09:26:22.307149,2020-05-14 09:30:15.583194,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,14.0,9.0,,,,,,0 days 00:03:53.276045000,Friday,autumn
40,Relax,2010-11-05 00:00:00.000000,2020-05-14 09:35:08.728049,2020-05-14 09:37:03.463118,41.0,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0 days 00:01:54.735069000,Friday,autumn
41,Housekeeping,2010-11-05 00:00:00.000000,2020-05-14 09:42:01.926042,2020-05-14 11:12:02.564360,42.0,1.0,,,,10.0,2.0,14.0,25.0,47.0,34.0,131.0,49.0,174.0,93.0,5.0,47.0,66.0,84.0,21.0,2.0,14.0,16.0,25.0,135.0,41.0,25.0,19.0,31.0,4.0,28.0,12.0,10.0,2.0,,3.0,,0 days 01:30:00.638318000,Friday,autumn
42,Leave_Home,2010-11-05 00:00:00.000000,2020-05-14 11:14:14.724634,2020-05-14 11:14:43.114534,43.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,1.0,1.0,1.0,3.0,2.0,1.0,,,0 days 00:00:28.389900000,Friday,autumn
43,Enter_Home,2010-11-05 00:00:00.000000,2020-05-14 12:48:12.332642,2020-05-14 12:48:16.949591,44.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.616949000,Friday,autumn
44,Leave_Home,2010-11-05 00:00:00.000000,2020-05-14 12:59:38.064949,2020-05-14 13:00:23.781043,45.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,0 days 00:00:45.716094000,Friday,autumn
45,Enter_Home,2010-11-05 00:00:00.000000,2020-05-14 13:00:33.391399,2020-05-14 13:01:23.042940,46.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,0 days 00:00:49.651541000,Friday,autumn
46,Leave_Home,2010-11-05 00:00:00.000000,2020-05-14 13:25:15.390393,2020-05-14 13:25:20.021554,47.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0 days 00:00:04.631161000,Friday,autumn
47,Enter_Home,2010-11-05 00:00:00.000000,2020-05-14 13:25:30.548695,2020-05-14 13:25:35.120939,48.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0 days 00:00:04.572244000,Friday,autumn
48,Work,2010-11-05 00:00:00.000000,2020-05-14 13:27:35.194985,2020-05-14 13:30:09.241181,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,0 days 00:02:34.046196000,Friday,autumn
49,Relax,2010-11-05 00:00:00.000000,2020-05-14 13:38:02.788861,2020-05-14 13:45:53.711039,50.0,,,,,,,,,,,,,17.0,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:07:50.922178000,Friday,autumn
50,Leave_Home,2010-11-05 00:00:00.000000,2020-05-14 13:49:02.323380,2020-05-14 13:49:08.753927,51.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,0 days 00:00:06.430547000,Friday,autumn
51,Enter_Home,2010-11-05 00:00:00.000000,2020-05-14 15:50:59.393661,2020-05-14 15:51:04.444616,52.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:05.050955000,Friday,autumn
52,Leave_Home,2010-11-05 00:00:00.000000,2020-05-14 16:00:09.934144,2020-05-14 16:00:14.165238,53.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.231094000,Friday,autumn
53,Enter_Home,2010-11-05 00:00:00.000000,2020-05-14 16:19:06.936435,2020-05-14 16:19:10.650203,54.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0 days 00:00:03.713768000,Friday,autumn
54,Meal_Preparation,2010-11-05 00:00:00.000000,2020-05-14 16:19:38.608137,2020-05-14 16:20:04.759502,55.0,,1.0,,,,,,,,,,,,,,,,0.0,,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,0 days 00:00:26.151365000,Friday,autumn
55,Meal_Preparation,2010-11-05 00:00:00.000000,2020-05-14 16:21:25.905454,2020-05-14 16:25:35.478871,56.0,,,,,,,,,,,,,,,,,,5.0,,,,13.0,13.0,2.0,,,,,,,,,,,,,0 days 00:04:09.573417000,Friday,autumn
56,Eating,2010-11-05 00:00:00.000000,2020-05-14 16:25:44.067607,2020-05-14 16:29:13.880311,57.0,,,,,,,,,,,,,,,,,,24.0,,,,0.0,0.0,,,,,,,,,,,,,,0 days 00:03:29.812704000,Friday,autumn
57,Wash_Dishes,2010-11-05 00:00:00.000000,2020-05-14 16:29:30.826602,2020-05-14 16:30:21.137501,58.0,,,,,,,,,,,,,,,,,,0.0,3.0,2.0,2.0,5.0,6.0,,1.0,,,,,,,,,,,,0 days 00:00:50.310899000,Friday,autumn
58,Leave_Home,2010-11-05 00:00:00.000000,2020-05-14 16:30:40.898509,2020-05-14 16:30:45.401690,59.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0 days 00:00:04.503181000,Friday,autumn
59,Enter_Home,2010-11-05 00:00:00.000000,2020-05-14 16:30:56.014672,2020-05-14 16:31:00.293569,60.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0 days 00:00:04.278897000,Friday,autumn
60,Work,2010-11-05 00:00:00.000000,2020-05-14 22:20:33.945948,2020-05-14 22:38:23.755897,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,18.0,4.0,1.0,,,,,0 days 00:17:49.809949000,Friday,autumn
61,Sleeping,2010-11-06 00:00:00.000000,2020-05-14 22:48:22.713829,2020-05-14 04:23:40.440892,62.0,,,,,,14.0,115.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1 days +05:35:17.727063000,Saturday,autumn
62,Bed_to_Toilet,2010-11-06 00:00:00.000000,2020-05-14 04:23:50.544193,2020-05-14 04:27:00.048965,63.0,,,,,,,,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:03:09.504772000,Saturday,autumn
63,Sleeping,2010-11-06 00:00:00.000000,2020-05-14 04:27:34.658690,2020-05-14 08:57:49.832587,64.0,,,,,,6.0,15.0,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0 days 04:30:15.173897000,Saturday,autumn
64,Meal_Preparation,2010-11-06 00:00:00.000000,2020-05-14 09:09:44.374728,2020-05-14 09:19:14.719135,65.0,,,,,,,,,,,,,,,,,,2.0,21.0,8.0,6.0,10.0,44.0,1.0,,,,,,,,,,,,,0 days 00:09:30.344407000,Saturday,autumn
65,Meal_Preparation,2010-11-06 00:00:00.000000,2020-05-14 09:21:10.829516,2020-05-14 09:28:18.535625,66.0,,,,,,,,,,,,,,,,,,0.0,24.0,4.0,3.0,6.0,33.0,,,,,,,,,,,,,,0 days 00:07:07.706109000,Saturday,autumn
66,Eating,2010-11-06 00:00:00.000000,2020-05-14 09:28:19.566626,2020-05-14 09:37:40.974527,67.0,,,,,,,,,,,,,,,,,,10.0,,,,0.0,,1.0,,,,,,,,,,,,,0 days 00:09:21.407901000,Saturday,autumn
67,Wash_Dishes,2010-11-06 00:00:00.000000,2020-05-14 09:38:24.364374,2020-05-14 09:41:18.711268,68.0,,,,,,,,,,,,,,,,,,,7.0,,,7.0,16.0,0.0,,,,,,,,,,,,,0 days 00:02:54.346894000,Saturday,autumn
68,Work,2010-11-06 00:00:00.000000,2020-05-14 10:28:15.508737,2020-05-14 10:30:39.829044,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,,1.0,,,,,0 days 00:02:24.320307000,Saturday,autumn
69,Housekeeping,2010-11-06 00:00:00.000000,2020-05-14 10:36:44.701754,2020-05-14 11:11:04.974456,70.0,,,,,26.0,,6.0,11.0,19.0,6.0,58.0,7.0,1.0,2.0,,3.0,3.0,8.0,,,5.0,8.0,6.0,41.0,9.0,9.0,,,,,,2.0,2.0,,2.0,,0 days 00:34:20.272702000,Saturday,autumn
70,Relax,2010-11-06 00:00:00.000000,2020-05-14 11:11:08.204165,2020-05-14 11:25:23.510404,71.0,,,,,,,,,,,,,28.0,1.0,,,3.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:14:15.306239000,Saturday,autumn
71,Housekeeping,2010-11-06 00:00:00.000000,2020-05-14 11:25:43.063825,2020-05-14 11:48:21.532025,72.0,,,,,,,,4.0,4.0,7.0,7.0,6.0,13.0,3.0,,,11.0,19.0,9.0,,2.0,16.0,16.0,27.0,13.0,7.0,4.0,1.0,,,,1.0,1.0,1.0,1.0,,0 days 00:22:38.468200000,Saturday,autumn
72,Meal_Preparation,2010-11-06 00:00:00.000000,2020-05-14 11:55:15.837614,2020-05-14 11:56:11.347205,73.0,,,,,,,,,,,,,,,,,,1.0,6.0,,,3.0,4.0,,,,,,,,,,,,,,0 days 00:00:55.509591000,Saturday,autumn
73,Meal_Preparation,2010-11-06 00:00:00.000000,2020-05-14 11:58:12.195368,2020-05-14 12:02:08.363476,74.0,,,,,,,,,,,,,,,,,,1.0,9.0,6.0,10.0,10.0,24.0,0.0,,,,,,,,,,,,,0 days 00:03:56.168108000,Saturday,autumn
74,Eating,2010-11-06 00:00:00.000000,2020-05-14 12:02:29.411879,2020-05-14 12:09:53.753134,75.0,,,,,,,,,,,,,,,,,,18.0,,,,,,0.0,0.0,,,,,,,,,,,,0 days 00:07:24.341255000,Saturday,autumn
75,Wash_Dishes,2010-11-06 00:00:00.000000,2020-05-14 12:09:59.911038,2020-05-14 12:11:57.556951,76.0,,,,,,,,,,,,,,,,,,0.0,1.0,,1.0,6.0,6.0,,1.0,,,,,,,,,,,,0 days 00:01:57.645913000,Saturday,autumn
76,Eating,2010-11-06 00:00:00.000000,2020-05-14 12:35:50.690281,2020-05-14 12:49:00.074717,77.0,,,,,,,,,,,,,,,,,,36.0,,,,2.0,,4.0,0.0,,,,,,,,,,,,0 days 00:13:09.384436000,Saturday,autumn
77,Leave_Home,2010-11-06 00:00:00.000000,2020-05-14 13:01:51.705939,2020-05-14 13:01:56.074024,78.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.368085000,Saturday,autumn
78,Enter_Home,2010-11-06 00:00:00.000000,2020-05-14 16:59:10.966903,2020-05-14 16:59:22.162185,79.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0 days 00:00:11.195282000,Saturday,autumn
79,Leave_Home,2010-11-06 00:00:00.000000,2020-05-14 17:05:28.374194,2020-05-14 17:05:32.954193,80.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,0 days 00:00:04.579999000,Saturday,autumn
80,Enter_Home,2010-11-06 00:00:00.000000,2020-05-14 17:06:00.159226,2020-05-14 17:06:04.543748,81.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0 days 00:00:04.384522000,Saturday,autumn
81,Leave_Home,2010-11-06 00:00:00.000000,2020-05-14 17:07:53.357148,2020-05-14 17:07:58.335361,82.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.978213000,Saturday,autumn
82,Enter_Home,2010-11-06 00:00:00.000000,2020-05-14 17:34:42.439944,2020-05-14 17:34:46.536715,83.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0 days 00:00:04.096771000,Saturday,autumn
83,Relax,2010-11-06 00:00:00.000000,2020-05-14 18:29:36.376297,2020-05-14 18:41:18.641850,84.0,,,,,,,,,,,,,57.0,1.0,,,4.0,,,,,,,8.0,0.0,,,,,,,,,,,,0 days 00:11:42.265553000,Saturday,autumn
84,Relax,2010-11-06 00:00:00.000000,2020-05-14 19:59:48.580042,2020-05-14 20:41:11.292478,85.0,,,,,,,,,,,,,32.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:41:22.712436000,Saturday,autumn
85,Relax,2010-11-06 00:00:00.000000,2020-05-14 20:46:41.625772,2020-05-14 20:54:02.243294,86.0,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,0 days 00:07:20.617522000,Saturday,autumn
86,Relax,2010-11-06 00:00:00.000000,2020-05-14 21:01:03.253916,2020-05-14 22:27:07.253830,87.0,,,,,,,,,,,,,30.0,1.0,,1.0,5.0,,,,,,,6.0,,,,,,,,,,,,,0 days 01:26:03.999914000,Saturday,autumn
87,Relax,2010-11-06 00:00:00.000000,2020-05-14 22:27:35.324056,2020-05-14 22:36:08.232277,88.0,,,,,,,,,,,,,16.0,1.0,,,3.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:08:32.908221000,Saturday,autumn
88,Relax,2010-11-06 00:00:00.000000,2020-05-14 22:46:34.602305,2020-05-14 23:26:55.246823,89.0,,,,,,,,,,,,,103.0,1.0,,,5.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:40:20.644518000,Saturday,autumn
89,Work,2010-11-06 00:00:00.000000,2020-05-14 23:28:33.047775,2020-05-14 23:52:55.711749,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,24.0,9.0,1.0,,,,,0 days 00:24:22.663974000,Saturday,autumn
90,Sleeping,2010-11-07 00:00:00.000000,2020-05-14 00:02:39.008130,2020-05-14 00:34:46.642929,91.0,,,,,,1.0,64.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:32:07.634799000,Sunday,autumn
91,Bed_to_Toilet,2010-11-07 00:00:00.000000,2020-05-14 00:34:48.871659,2020-05-14 00:35:36.223000,92.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:47.351341000,Sunday,autumn
92,Sleeping,2010-11-07 00:00:00.000000,2020-05-14 00:36:18.148567,2020-05-14 03:43:08.414022,93.0,,,,,,12.0,25.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 03:06:50.265455000,Sunday,autumn
93,Bed_to_Toilet,2010-11-07 00:00:00.000000,2020-05-14 03:43:19.802838,2020-05-14 03:46:23.886632,94.0,,,,,,,,3.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:03:04.083794000,Sunday,autumn
94,Sleeping,2010-11-07 00:00:00.000000,2020-05-14 03:46:41.571929,2020-05-14 03:47:14.894366,95.0,,,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:33.322437000,Sunday,autumn
95,Bed_to_Toilet,2010-11-07 00:00:00.000000,2020-05-14 03:49:20.647413,2020-05-14 03:51:17.964123,96.0,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:57.316710000,Sunday,autumn
96,Sleeping,2010-11-07 00:00:00.000000,2020-05-14 03:51:21.614944,2020-05-14 07:34:57.814105,97.0,,,,,,24.0,55.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 03:43:36.199161000,Sunday,autumn
97,Meal_Preparation,2010-11-07 00:00:00.000000,2020-05-14 07:35:43.912388,2020-05-14 07:37:13.769327,98.0,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,2.0,9.0,1.0,0.0,,,,,,,,,,,,0 days 00:01:29.856939000,Sunday,autumn
98,Meal_Preparation,2010-11-07 00:00:00.000000,2020-05-14 07:50:09.199823,2020-05-14 07:57:21.977962,99.0,,,,,,,,,,,,,,,,,,1.0,15.0,8.0,5.0,9.0,43.0,,,,,,,,,,,,,,0 days 00:07:12.778139000,Sunday,autumn
99,Meal_Preparation,2010-11-07 00:00:00.000000,2020-05-14 08:00:38.055900,2020-05-14 08:06:12.184786,100.0,,,,,,,,,,,,,,,,,,2.0,16.0,,4.0,7.0,27.0,,,,,,,,,,,,,,0 days 00:05:34.128886000,Sunday,autumn
100,Eating,2010-11-07 00:00:00.000000,2020-05-14 08:06:14.168036,2020-05-14 08:13:27.570571,101.0,,,,,,,,,,,,,,,,,,8.0,,,,,,3.0,,,,,,,,,,,,,0 days 00:07:13.402535000,Sunday,autumn
101,Relax,2010-11-07 00:00:00.000000,2020-05-14 08:14:48.888777,2020-05-14 08:30:55.415439,102.0,,,,,,,,,,,,,28.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,0 days 00:16:06.526662000,Sunday,autumn
